"id","cwb_1_sim","cwb_2_sim","cwb_3_sim","cwb_4_sim","res_1_sim","res_2_sim","dem_1_sim","dem_2_sim","dem_3_sim"
1704,1,NA,1,2,NA,9,35,1,1
1705,2,1,1,NA,NA,NA,NA,1,NA
1706,1,1,NA,NA,NA,8,16,NA,2
1707,2,NA,NA,1,NA,NA,58,NA,2
1708,2,NA,NA,2,2,10,NA,NA,2
1709,2,1,1,1,NA,2,NA,1,NA
1710,2,NA,1,1,1,4,36,NA,2
1711,2,1,1,1,NA,NA,2,NA,2
1712,NA,1,NA,NA,2,11,NA,1,NA
1713,NA,1,NA,NA,NA,2,NA,NA,2
1714,2,NA,1,1,2,3,69,NA,NA
1715,1,NA,1,NA,NA,4,NA,1,NA
1716,NA,1,NA,1,1,1,NA,4,2
1717,2,1,1,2,1,8,90,1,2
1718,2,1,NA,NA,2,NA,63,NA,2
1719,1,NA,NA,NA,1,14,13,NA,2
1720,1,2,NA,2,1,11,3,NA,2
1721,2,NA,NA,2,NA,10,NA,1,2
1722,2,1,NA,2,1,3,NA,NA,2
1723,NA,NA,NA,NA,3,NA,NA,1,2
1724,NA,1,1,NA,3,4,NA,1,2
1725,2,1,1,NA,2,8,39,NA,2
1726,NA,NA,1,1,NA,NA,41,1,2
1727,2,1,1,2,3,9,74,2,NA
1728,2,1,1,NA,1,11,70,1,1
1729,1,NA,1,NA,1,14,39,NA,2
1730,2,1,NA,1,NA,16,78,1,2
1731,NA,NA,2,1,2,16,NA,1,2
1732,1,1,1,NA,NA,15,45,1,NA
1733,NA,1,NA,1,1,15,2,1,1
1734,NA,1,1,1,1,10,NA,NA,2
1735,1,NA,1,2,NA,NA,NA,4,NA
1736,2,1,1,NA,NA,7,NA,1,2
1737,NA,NA,1,NA,2,1,NA,4,NA
1738,2,1,1,NA,3,9,3,3,NA
1739,2,1,NA,1,NA,NA,42,1,NA
1740,NA,NA,1,NA,1,NA,18,1,NA
1741,1,1,1,NA,NA,15,42,1,2
1742,1,1,1,1,NA,NA,84,1,NA
1743,2,1,NA,2,2,8,62,1,NA
1744,1,NA,1,NA,NA,7,13,NA,2
1745,1,NA,1,NA,2,16,79,1,NA
1746,2,1,NA,1,NA,12,4,1,NA
1747,NA,1,1,NA,2,7,12,NA,NA
1748,1,NA,1,NA,3,9,NA,3,2
1749,2,1,1,1,2,NA,83,1,2
1750,2,1,NA,1,1,3,NA,1,NA
1751,2,NA,NA,2,2,8,56,4,NA
1752,2,NA,NA,NA,1,12,NA,NA,2
1753,1,NA,1,NA,1,NA,NA,1,2
1754,1,NA,NA,NA,1,4,NA,1,2
1755,NA,NA,NA,NA,NA,NA,4,1,2
1756,NA,2,NA,NA,1,NA,39,NA,2
1757,NA,1,NA,1,NA,5,NA,NA,NA
1758,NA,1,NA,1,1,14,33,NA,2
1759,2,NA,1,NA,3,NA,60,1,2
1760,NA,NA,1,1,NA,7,NA,2,NA
1761,NA,1,1,1,NA,NA,90,NA,1
1762,2,1,NA,NA,NA,NA,63,2,2
1763,2,1,1,2,2,2,NA,4,NA
1764,1,1,1,1,1,14,NA,3,2
1765,1,NA,1,NA,1,2,78,1,2
1766,2,NA,1,NA,NA,NA,NA,1,NA
1767,NA,1,1,2,NA,15,47,1,NA
1768,2,NA,1,NA,NA,8,34,NA,2
1769,NA,1,NA,1,1,1,NA,1,2
1770,1,1,1,2,NA,15,NA,NA,NA
1771,1,1,2,1,2,NA,16,NA,2
1772,NA,NA,1,1,NA,NA,56,NA,NA
1773,2,1,1,NA,1,15,NA,NA,2
1774,NA,1,NA,NA,3,NA,NA,NA,2
1775,NA,1,NA,NA,2,7,55,1,2
1776,2,1,1,2,1,16,61,4,2
1777,1,NA,1,1,2,NA,NA,NA,2
1778,NA,NA,NA,1,3,3,NA,NA,NA
1779,2,1,1,NA,2,6,26,1,NA
1780,2,1,NA,2,1,NA,NA,1,NA
1781,2,NA,NA,NA,2,10,NA,NA,2
1782,NA,NA,NA,1,NA,NA,NA,1,2
1783,1,1,NA,NA,NA,16,NA,1,2
1784,NA,1,1,1,2,4,NA,1,2
1785,2,NA,1,1,3,1,11,1,2
1786,2,2,NA,2,3,10,13,NA,2
1787,2,NA,NA,1,NA,9,66,1,2
1788,2,1,1,1,NA,3,42,1,2
1789,2,NA,2,NA,3,5,60,1,2
1790,2,1,1,NA,NA,15,53,1,2
1791,NA,2,1,2,NA,8,26,3,2
1792,2,1,NA,NA,3,1,70,1,2
1793,NA,NA,NA,2,2,11,NA,NA,2
1794,1,1,NA,1,1,NA,24,NA,NA
1795,2,1,NA,1,1,4,65,1,NA
1796,NA,1,1,2,NA,3,36,1,NA
1797,NA,NA,1,1,3,8,12,2,2
1798,NA,1,NA,2,NA,8,43,1,NA
1799,NA,NA,1,1,2,NA,NA,2,NA
1800,2,NA,NA,1,NA,6,19,1,2
1801,2,NA,NA,2,NA,6,65,1,NA
1802,1,1,1,2,NA,2,51,NA,NA
1803,1,1,1,2,2,2,NA,NA,NA
1804,NA,NA,NA,NA,NA,13,NA,1,NA
1805,NA,1,1,NA,NA,10,76,1,NA
1806,NA,NA,NA,2,NA,5,26,NA,2
1807,1,1,1,2,3,12,25,NA,2
1808,1,NA,NA,1,NA,4,51,1,NA
1809,NA,NA,1,1,NA,10,57,1,2
1810,NA,1,NA,2,NA,NA,NA,4,NA
1811,NA,NA,NA,2,2,2,NA,1,NA
1812,1,1,1,2,2,NA,48,1,2
1813,2,2,NA,NA,2,NA,63,3,2
1814,1,1,1,NA,2,NA,90,4,NA
1815,2,1,NA,1,1,9,53,3,2
1816,2,1,1,2,1,NA,67,1,2
1817,NA,1,1,NA,2,6,NA,3,2
1818,2,1,1,NA,NA,NA,NA,3,NA
1819,2,NA,1,1,NA,6,74,NA,1
1820,1,1,1,NA,NA,NA,NA,NA,NA
1821,NA,1,1,NA,3,NA,NA,NA,2
1822,NA,NA,1,2,NA,9,NA,NA,2
1823,NA,1,1,2,2,4,42,3,NA
1824,2,NA,NA,1,2,8,NA,1,2
1825,1,1,NA,NA,NA,2,13,NA,2
1826,1,1,1,NA,3,NA,9,NA,NA
1827,1,1,NA,2,2,2,NA,2,2
1828,2,1,NA,NA,1,14,NA,1,2
1829,1,NA,2,NA,NA,3,59,NA,2
1830,1,NA,NA,2,2,16,NA,1,NA
1831,NA,1,NA,2,1,NA,46,1,NA
1832,NA,1,1,NA,NA,1,73,NA,2
1833,NA,1,1,NA,1,3,18,NA,NA
1834,1,1,NA,NA,NA,15,NA,1,2
1835,2,2,1,2,3,NA,2,1,NA
1836,2,NA,1,NA,1,NA,90,3,NA
1837,NA,NA,1,NA,NA,14,NA,1,2
1838,NA,1,1,1,1,3,NA,1,NA
1839,NA,1,1,2,1,4,70,1,2
1840,NA,NA,1,2,3,10,89,1,NA
1841,1,NA,NA,1,NA,NA,80,1,2
1842,1,NA,NA,NA,2,NA,53,1,2
1843,1,1,NA,2,2,NA,85,NA,2
1844,2,2,1,NA,1,NA,29,1,2
1845,NA,1,1,NA,1,NA,44,1,NA
1846,2,NA,1,NA,2,12,87,4,2
1847,NA,NA,1,NA,2,4,NA,NA,2
1848,2,1,1,NA,1,NA,38,NA,2
1849,1,1,2,1,3,13,70,1,NA
1850,NA,1,1,1,2,1,11,NA,NA
1851,NA,1,1,1,2,NA,22,1,2
1852,NA,1,1,1,NA,NA,71,NA,NA
1853,NA,1,1,NA,NA,NA,28,1,2
1854,NA,1,1,NA,2,9,NA,NA,2
1855,NA,1,NA,1,3,9,79,NA,2
1856,2,1,NA,2,NA,4,4,2,NA
1857,NA,NA,1,1,NA,NA,NA,2,NA
1858,NA,1,1,2,1,14,68,1,NA
1859,1,1,NA,1,1,14,40,1,2
1860,NA,NA,NA,2,NA,16,71,2,NA
1861,1,NA,NA,NA,2,4,26,1,NA
1862,2,1,1,NA,NA,NA,81,NA,2
1863,NA,NA,NA,2,2,8,81,1,NA
1864,2,1,1,1,2,6,NA,NA,2
1865,NA,1,1,1,1,NA,6,NA,NA
1866,2,NA,1,2,2,NA,NA,1,2
1867,1,NA,NA,NA,1,NA,70,1,2
1868,NA,1,NA,NA,2,5,NA,1,2
1869,1,NA,NA,NA,2,4,NA,NA,2
1870,2,1,1,1,NA,4,77,1,NA
1871,1,1,NA,2,2,NA,59,1,NA
1872,2,NA,NA,NA,NA,5,8,1,NA
1873,2,NA,NA,1,1,4,21,NA,NA
1874,2,1,1,NA,1,9,78,2,2
1875,2,1,1,2,NA,7,51,1,2
1876,2,1,1,1,3,NA,68,NA,2
1877,1,1,NA,1,3,NA,NA,2,2
1878,2,NA,NA,NA,1,6,NA,3,NA
1879,2,1,1,2,NA,NA,11,1,1
1880,2,NA,NA,NA,NA,NA,79,1,2
1881,2,1,1,2,NA,16,72,NA,NA
1882,NA,1,1,2,1,NA,NA,NA,NA
1883,1,1,NA,1,NA,12,76,1,2
1884,2,1,NA,NA,2,NA,NA,NA,1
1885,2,NA,1,1,NA,9,3,1,NA
1886,2,NA,NA,NA,1,NA,NA,NA,NA
1887,NA,NA,NA,2,NA,3,NA,1,2
1888,NA,1,1,NA,NA,9,NA,1,2
1889,NA,1,NA,2,NA,14,75,NA,NA
1890,2,1,1,1,2,6,NA,NA,NA
1891,2,1,1,1,1,15,NA,NA,2
1892,2,1,2,NA,2,3,14,NA,2
1893,NA,NA,1,NA,3,NA,NA,NA,2
1894,2,NA,1,NA,2,11,7,1,NA
1895,2,NA,1,2,2,2,NA,1,NA
1896,1,1,NA,1,NA,11,67,3,NA
1897,NA,NA,1,1,NA,9,NA,1,2
1898,NA,1,1,1,NA,NA,NA,NA,2
1899,NA,1,1,2,1,13,NA,3,NA
1900,1,1,NA,NA,1,14,38,NA,2
1901,NA,1,1,2,2,NA,25,1,NA
1902,2,NA,1,NA,1,14,72,NA,2
1903,NA,1,1,2,NA,NA,48,2,2
1904,2,NA,1,NA,1,8,29,3,2
1905,2,1,1,NA,3,6,25,1,2
1906,NA,1,1,2,NA,9,NA,NA,NA
1907,2,NA,1,2,NA,4,NA,1,2
1908,2,NA,1,2,1,13,66,NA,NA
1909,NA,1,1,NA,1,NA,5,NA,2
1910,2,1,NA,1,2,8,39,NA,2
1911,NA,NA,NA,NA,NA,15,NA,NA,NA
1912,1,NA,1,NA,NA,NA,NA,1,NA
1913,1,1,1,2,3,14,20,NA,NA
1914,NA,NA,1,2,NA,16,NA,NA,NA
1915,NA,1,1,NA,3,14,NA,NA,NA
1916,2,1,1,NA,2,NA,NA,1,NA
1917,1,1,1,NA,2,16,74,1,2
1918,1,1,1,2,NA,8,21,NA,NA
1919,NA,1,1,1,2,14,73,1,2
1920,NA,NA,NA,2,1,NA,31,1,NA
1921,1,1,1,1,1,NA,64,2,2
1922,2,NA,1,NA,2,10,31,NA,1
1923,1,2,NA,1,NA,12,52,1,1
1924,NA,1,NA,1,NA,14,30,1,2
1925,NA,NA,NA,1,3,6,NA,NA,NA
1926,NA,NA,1,1,NA,NA,22,NA,NA
1927,2,1,1,2,NA,1,NA,1,NA
1928,NA,NA,NA,NA,2,12,NA,2,2
1929,2,NA,1,NA,3,11,NA,1,2
1930,2,NA,NA,NA,NA,NA,NA,NA,2
1931,NA,2,NA,NA,3,3,NA,1,2
1932,2,NA,1,NA,NA,NA,NA,NA,2
1933,NA,NA,1,1,NA,NA,60,1,2
1934,NA,1,NA,1,3,12,51,1,1
1935,1,NA,NA,NA,1,NA,89,1,1
1936,NA,NA,1,1,1,4,NA,1,2
1937,NA,NA,1,NA,NA,9,81,2,2
1938,2,1,NA,1,NA,15,77,2,NA
1939,NA,NA,1,2,2,15,44,4,2
1940,NA,NA,NA,2,NA,9,86,1,2
1941,2,1,NA,1,2,NA,NA,NA,NA
1942,2,1,NA,1,2,7,64,1,2
1943,1,2,1,NA,3,11,NA,1,2
1944,NA,2,NA,NA,2,NA,28,NA,2
1945,2,NA,1,NA,NA,NA,NA,1,2
1946,1,NA,1,1,NA,NA,23,NA,NA
1947,NA,NA,1,NA,2,6,35,1,2
1948,NA,1,1,2,2,NA,NA,3,2
1949,1,NA,1,2,2,NA,0,2,NA
1950,NA,1,NA,NA,NA,NA,NA,1,NA
1951,NA,NA,NA,NA,2,12,NA,1,NA
1952,NA,1,1,NA,2,7,29,4,NA
1953,2,2,NA,1,NA,12,NA,1,2
1954,NA,NA,NA,1,NA,NA,NA,1,2
1955,NA,1,1,2,NA,3,NA,1,1
1956,1,1,NA,NA,NA,2,16,4,2
1957,1,NA,1,1,1,9,NA,NA,NA
1958,2,1,1,NA,NA,12,NA,1,NA
1959,2,1,1,2,3,8,NA,NA,2
1960,1,1,1,2,2,8,NA,4,2
1961,2,1,1,1,NA,NA,NA,NA,NA
1962,2,1,1,2,1,16,40,3,NA
1963,1,1,1,NA,2,14,24,1,2
1964,2,1,1,NA,2,5,6,NA,2
1965,2,NA,NA,2,2,7,19,1,2
1966,2,1,1,NA,NA,NA,NA,1,NA
1967,NA,1,NA,NA,NA,NA,4,2,NA
1968,NA,1,NA,2,2,12,85,NA,NA
1969,1,NA,NA,2,NA,7,NA,2,NA
1970,NA,1,NA,2,NA,5,NA,NA,NA
1971,2,1,1,NA,2,NA,55,NA,1
1972,2,1,1,2,NA,16,NA,1,2
1973,NA,2,1,1,NA,5,NA,NA,2
1974,1,1,1,2,2,14,NA,NA,NA
1975,NA,NA,1,1,3,NA,5,3,2
1976,2,NA,1,1,3,NA,87,1,NA
1977,NA,1,1,2,1,2,NA,NA,2
1978,NA,NA,1,2,NA,15,90,1,NA
1979,NA,1,1,NA,3,16,NA,1,2
1980,2,NA,1,NA,1,12,2,NA,2
1981,2,1,1,2,1,4,0,NA,2
1982,NA,1,1,1,2,NA,NA,NA,NA
1983,NA,1,1,1,NA,15,21,3,2
1984,2,1,NA,NA,2,4,35,2,2
1985,2,NA,NA,NA,2,9,84,NA,NA
1986,2,NA,NA,1,2,8,NA,NA,NA
1987,NA,1,NA,2,NA,14,NA,NA,NA
1988,NA,1,1,1,2,4,NA,2,1
1989,1,1,1,NA,1,13,52,1,NA
1990,NA,NA,1,NA,NA,2,NA,NA,NA
1991,1,NA,1,NA,NA,15,81,1,2
1992,1,1,2,NA,1,2,77,NA,NA
1993,2,1,NA,1,NA,8,44,NA,2
1994,NA,1,1,2,2,NA,NA,NA,NA
1995,NA,1,1,2,2,NA,61,1,NA
1996,2,NA,NA,2,2,NA,52,NA,2
1997,2,NA,1,2,3,NA,NA,1,NA
1998,2,NA,1,NA,NA,NA,52,1,NA
1999,2,1,1,NA,3,2,44,1,NA
2000,2,1,1,1,3,14,28,NA,2
2001,2,NA,1,1,NA,9,14,NA,NA
2002,2,NA,1,NA,2,NA,52,1,2
2003,1,1,NA,NA,1,NA,NA,NA,2
2004,2,1,NA,2,3,NA,NA,1,2
2005,1,NA,NA,1,NA,13,65,NA,2
2006,NA,1,NA,NA,2,11,NA,NA,NA
2007,NA,1,1,2,1,16,NA,NA,2
2008,2,NA,NA,NA,1,11,NA,NA,NA
2009,NA,1,1,2,2,NA,8,NA,NA
2010,NA,1,NA,1,NA,7,NA,NA,NA
2011,1,NA,1,NA,2,14,45,1,NA
2012,1,NA,1,1,2,NA,82,NA,NA
2013,NA,1,1,1,3,NA,23,1,2
2014,2,1,1,NA,3,16,NA,4,NA
2015,2,2,1,1,NA,4,NA,1,2
2016,1,1,NA,1,NA,NA,NA,NA,2
2017,NA,2,1,2,NA,NA,82,1,NA
2018,NA,1,1,NA,2,NA,88,NA,2
2019,1,NA,1,1,1,NA,41,1,NA
2020,2,1,1,2,1,6,41,1,2
2021,2,1,NA,2,3,6,26,3,NA
2022,2,1,1,NA,NA,13,14,NA,2
2023,1,1,1,NA,3,8,NA,NA,2
2024,1,2,NA,NA,NA,15,NA,1,NA
2025,2,1,NA,1,3,15,15,1,2
2026,NA,NA,1,NA,2,NA,NA,NA,2
2027,NA,1,NA,1,NA,2,25,NA,2
2028,NA,1,1,2,NA,9,NA,1,NA
2029,NA,1,1,2,NA,NA,71,1,NA
2030,2,2,1,2,2,4,9,1,2
2031,1,NA,1,NA,NA,10,64,1,2
2032,2,1,1,2,1,7,53,1,NA
2033,1,NA,NA,NA,NA,NA,46,1,2
2034,1,1,NA,1,NA,13,NA,2,NA
2035,NA,NA,1,NA,2,12,NA,NA,2
2036,NA,NA,NA,1,2,13,NA,1,2
2037,1,1,1,2,NA,NA,75,NA,NA
2038,1,1,1,1,1,7,NA,NA,2
2039,2,2,1,NA,1,NA,53,1,2
2040,1,NA,1,2,2,15,17,NA,2
2041,NA,NA,1,NA,NA,13,0,NA,NA
2042,NA,1,1,2,NA,NA,NA,NA,NA
2043,NA,1,1,NA,2,8,NA,1,NA
2044,NA,1,2,NA,2,16,NA,NA,NA
2045,NA,1,NA,1,3,16,NA,NA,NA
2046,2,NA,1,1,NA,7,34,1,2
2047,2,1,1,2,1,10,NA,NA,2
2048,NA,NA,1,NA,2,NA,NA,1,NA
2049,NA,NA,NA,2,2,2,60,1,2
2050,NA,1,1,2,NA,NA,NA,NA,2
2051,1,1,NA,1,NA,15,NA,1,NA
2052,NA,1,NA,1,NA,10,32,NA,2
2053,NA,1,1,NA,2,NA,89,1,2
2054,2,NA,1,NA,3,5,NA,1,NA
2055,2,NA,NA,NA,1,4,79,NA,2
2056,1,1,1,1,NA,16,NA,NA,NA
2057,NA,NA,2,NA,1,NA,61,NA,2
2058,1,1,NA,1,3,3,52,1,NA
2059,2,1,1,NA,NA,5,NA,NA,1
2060,2,1,NA,2,2,5,89,1,1
2061,NA,NA,NA,1,3,NA,NA,1,NA
2062,1,1,NA,2,NA,NA,NA,1,2
2063,1,1,1,1,3,NA,53,1,NA
2064,1,2,1,NA,NA,13,NA,4,1
2065,1,NA,1,1,3,16,NA,1,2
2066,NA,1,NA,NA,3,NA,NA,1,2
2067,2,1,1,NA,2,16,NA,NA,2
2068,2,1,1,NA,NA,NA,36,4,2
2069,2,NA,NA,1,NA,NA,78,NA,2
2070,NA,2,1,NA,3,10,82,NA,2
2071,2,NA,1,1,3,NA,21,NA,2
2072,NA,1,1,NA,NA,NA,43,1,NA
2073,NA,1,1,NA,NA,9,26,2,NA
2074,2,1,1,NA,NA,3,NA,NA,NA
2075,2,1,1,NA,NA,NA,NA,1,2
2076,NA,NA,1,2,1,3,NA,1,NA
2077,2,1,1,NA,NA,3,NA,1,2
2078,2,NA,NA,1,2,NA,NA,1,2
2079,1,1,1,NA,2,NA,NA,NA,2
2080,2,NA,1,1,2,NA,50,3,2
2081,2,1,1,2,NA,NA,NA,NA,NA
2082,NA,NA,1,1,NA,NA,47,3,2
2083,1,1,NA,1,NA,NA,10,2,NA
2084,2,1,NA,2,NA,9,4,NA,2
2085,NA,1,1,1,1,NA,19,1,NA
2086,2,NA,1,NA,2,NA,63,NA,2
2087,NA,NA,1,2,3,1,77,NA,2
2088,2,1,1,2,NA,6,NA,NA,1
2089,NA,NA,1,2,NA,11,NA,1,2
2090,2,NA,NA,1,2,NA,NA,1,NA
2091,2,NA,1,2,2,NA,1,NA,2
2092,1,NA,1,NA,3,5,42,1,1
2093,NA,1,1,2,2,3,NA,1,2
2094,NA,1,1,NA,3,NA,NA,NA,2
2095,2,1,NA,1,2,2,NA,NA,NA
2096,2,NA,1,NA,NA,12,NA,NA,2
2097,NA,2,1,2,3,NA,76,NA,NA
2098,2,1,1,1,NA,3,NA,NA,NA
2099,NA,1,1,NA,NA,NA,64,1,2
2100,2,NA,1,1,2,3,54,NA,2
2101,1,NA,1,NA,1,5,79,1,2
2102,NA,1,1,1,NA,NA,32,2,2
2103,NA,NA,1,2,2,7,NA,NA,2
2104,2,1,1,2,1,13,NA,1,2
2105,1,1,NA,2,2,14,NA,1,2
2106,NA,1,1,1,1,NA,51,NA,NA
2107,2,1,1,NA,3,NA,NA,NA,2
2108,2,NA,NA,1,2,12,NA,NA,NA
2109,1,NA,1,1,NA,NA,69,NA,NA
2110,1,1,1,1,1,6,58,NA,2
2111,NA,1,1,NA,NA,NA,15,1,2
2112,2,1,NA,1,NA,12,NA,1,NA
2113,NA,NA,1,2,3,1,89,NA,2
2114,NA,NA,NA,2,2,NA,32,NA,1
2115,2,NA,1,2,2,8,33,1,2
2116,2,1,NA,NA,NA,11,33,1,1
2117,NA,NA,1,1,2,7,51,1,2
2118,NA,NA,1,2,NA,NA,61,1,2
2119,NA,1,1,2,NA,9,49,1,NA
2120,NA,2,1,NA,NA,8,NA,NA,1
2121,NA,1,NA,NA,NA,NA,79,NA,2
2122,NA,NA,1,NA,3,8,59,1,NA
2123,NA,1,1,2,NA,13,83,1,2
2124,2,NA,NA,1,NA,9,85,1,1
2125,NA,1,1,2,NA,NA,38,1,NA
2126,NA,1,1,2,2,16,80,NA,2
2127,2,1,1,NA,NA,NA,71,NA,2
2128,2,NA,NA,2,NA,12,NA,NA,2
2129,2,NA,NA,2,NA,10,NA,3,2
2130,2,2,1,2,3,14,59,1,NA
2131,2,2,NA,NA,2,NA,NA,NA,2
2132,2,NA,1,2,2,NA,NA,NA,2
2133,2,1,NA,NA,2,14,79,NA,NA
2134,2,NA,1,NA,1,15,28,1,NA
2135,2,1,1,NA,NA,NA,24,NA,NA
2136,1,1,1,NA,NA,NA,NA,NA,2
2137,2,NA,NA,1,3,NA,NA,NA,NA
2138,NA,NA,1,1,NA,NA,79,1,2
2139,2,NA,1,NA,1,6,74,NA,2
2140,1,1,1,1,2,3,69,NA,NA
2141,NA,1,NA,1,1,NA,10,NA,2
2142,1,NA,NA,1,2,2,NA,2,2
2143,1,NA,NA,NA,NA,12,NA,2,NA
2144,1,NA,1,1,NA,12,32,NA,2
2145,2,1,NA,1,NA,7,NA,2,2
2146,2,NA,1,NA,NA,8,22,NA,NA
2147,2,2,NA,NA,NA,5,37,NA,2
2148,1,1,1,NA,1,3,44,NA,2
2149,1,1,1,1,1,15,65,1,2
2150,NA,1,NA,1,NA,NA,84,3,2
2151,NA,1,1,1,2,NA,41,1,2
2152,NA,NA,1,NA,NA,5,NA,NA,1
2153,NA,2,1,NA,2,6,NA,1,NA
2154,NA,NA,1,2,NA,NA,31,NA,2
2155,2,2,1,NA,2,9,81,1,2
2156,NA,1,1,NA,NA,NA,76,1,NA
2157,2,1,1,1,NA,14,NA,1,NA
2158,2,1,NA,1,NA,NA,0,NA,NA
2159,NA,NA,1,1,NA,10,79,2,2
2160,NA,NA,1,NA,NA,3,37,NA,2
2161,1,1,1,1,1,NA,NA,1,NA
2162,NA,1,1,2,2,NA,79,1,NA
2163,NA,NA,NA,NA,NA,2,NA,1,NA
2164,2,1,NA,2,NA,NA,NA,NA,2
2165,NA,1,1,1,3,NA,27,1,2
2166,NA,NA,NA,NA,NA,5,NA,3,NA
2167,1,1,NA,1,NA,5,33,1,2
2168,2,1,1,NA,3,5,0,1,2
2169,1,1,1,1,NA,NA,27,NA,NA
2170,2,2,1,NA,2,10,0,1,NA
2171,1,NA,NA,2,NA,2,NA,1,2
2172,NA,1,1,1,NA,NA,NA,1,NA
2173,NA,NA,1,NA,1,NA,NA,NA,2
2174,2,2,1,NA,2,11,NA,NA,2
2175,NA,1,NA,NA,NA,NA,NA,NA,2
2176,2,NA,NA,NA,NA,1,NA,NA,2
2177,2,1,1,NA,NA,NA,39,NA,2
2178,1,1,1,1,2,NA,NA,NA,2
2179,2,1,1,2,1,13,NA,1,2
2180,2,NA,1,1,2,NA,NA,NA,2
2181,1,1,1,NA,NA,5,31,3,2
2182,2,NA,1,NA,3,6,68,1,NA
2183,2,NA,1,NA,NA,NA,44,1,2
2184,2,1,1,2,NA,3,81,NA,1
2185,1,NA,NA,1,NA,NA,34,NA,NA
2186,2,2,1,2,3,5,34,1,2
2187,NA,NA,1,2,1,8,NA,3,2
2188,2,1,NA,NA,2,3,13,NA,2
2189,1,1,NA,2,2,NA,65,NA,NA
2190,2,2,1,NA,2,NA,72,1,NA
2191,NA,1,NA,1,2,NA,NA,NA,2
2192,1,1,1,2,NA,NA,8,1,2
2193,2,1,2,NA,NA,NA,10,1,2
2194,2,1,1,NA,3,7,NA,1,2
2195,1,NA,1,NA,3,13,21,1,NA
2196,2,NA,1,1,2,13,84,1,2
2197,2,NA,1,2,1,12,20,NA,NA
2198,2,1,1,NA,2,7,74,2,NA
2199,NA,NA,1,1,1,3,68,1,NA
2200,1,1,NA,NA,NA,4,11,2,NA
2201,NA,NA,NA,2,2,NA,86,1,2
2202,NA,NA,2,NA,3,5,NA,NA,2
2203,2,1,NA,NA,3,12,47,NA,2
2204,2,2,1,1,NA,10,NA,1,NA
2205,NA,1,2,1,2,NA,NA,NA,2
2206,NA,1,NA,2,2,6,54,NA,2
2207,1,1,NA,NA,NA,12,83,1,2
2208,1,NA,2,NA,NA,4,74,NA,NA
2209,NA,2,NA,2,3,6,74,NA,NA
2210,1,1,1,1,NA,NA,26,NA,2
2211,NA,1,1,2,NA,NA,NA,1,2
2212,2,1,NA,1,2,NA,NA,NA,NA
2213,NA,1,1,1,NA,12,69,1,NA
2214,NA,NA,1,2,2,NA,NA,1,NA
2215,2,NA,NA,1,NA,5,47,NA,NA
2216,2,NA,NA,1,2,NA,16,1,2
2217,2,1,1,1,NA,NA,0,1,2
2218,2,1,1,2,2,8,10,NA,2
2219,1,NA,1,1,NA,9,90,1,2
2220,2,1,1,1,NA,2,NA,NA,2
2221,NA,NA,NA,2,NA,NA,1,4,2
2222,1,1,1,2,NA,NA,NA,NA,2
2223,1,NA,NA,NA,2,NA,NA,NA,2
2224,1,2,1,NA,1,13,26,1,NA
2225,NA,1,2,1,1,16,NA,NA,2
2226,2,2,NA,2,2,4,76,1,2
2227,NA,1,NA,2,2,4,84,NA,NA
2228,1,1,NA,2,1,3,57,2,2
2229,2,1,NA,1,2,NA,NA,NA,2
2230,2,NA,NA,NA,1,1,37,3,NA
2231,NA,1,NA,2,NA,NA,36,NA,1
2232,1,NA,1,1,2,5,46,1,2
2233,NA,NA,NA,NA,NA,5,13,1,2
2234,NA,NA,1,NA,NA,11,82,1,2
2235,2,NA,1,NA,2,NA,29,NA,2
2236,NA,NA,1,1,2,NA,NA,NA,2
2237,NA,1,NA,1,NA,10,NA,1,2
2238,1,1,NA,2,NA,4,10,NA,2
2239,NA,1,2,1,2,15,NA,1,NA
2240,1,NA,1,2,3,15,35,1,2
2241,NA,1,NA,1,NA,10,NA,2,NA
2242,NA,NA,1,NA,2,6,NA,NA,2
2243,2,1,NA,2,NA,NA,NA,NA,2
2244,1,1,1,1,3,NA,39,1,2
2245,NA,NA,NA,2,NA,11,7,NA,2
2246,NA,1,1,1,2,2,23,1,2
2247,NA,1,NA,2,NA,4,47,NA,2
2248,2,1,1,2,3,7,53,NA,2
2249,1,1,1,NA,1,NA,4,1,NA
2250,NA,1,NA,NA,2,16,NA,3,NA
2251,1,1,1,1,2,NA,NA,1,NA
2252,NA,1,1,2,NA,NA,NA,3,2
2253,NA,1,2,1,NA,5,NA,1,NA
2254,2,1,NA,NA,NA,NA,67,1,2
2255,2,1,NA,NA,NA,6,49,NA,2
2256,NA,1,1,2,1,NA,67,NA,2
2257,1,NA,NA,1,NA,NA,NA,NA,NA
2258,2,NA,1,NA,3,9,50,1,NA
2259,2,NA,1,2,2,9,NA,NA,NA
2260,1,1,NA,2,3,1,NA,NA,2
2261,NA,1,NA,NA,1,3,29,NA,2
2262,2,1,1,1,3,3,17,1,2
2263,2,1,1,2,2,NA,30,1,NA
2264,1,1,1,1,2,7,25,NA,2
2265,NA,1,1,1,NA,4,NA,NA,NA
2266,1,1,1,NA,NA,16,46,3,2
2267,1,1,1,1,2,14,8,1,2
2268,2,1,1,NA,2,NA,40,3,2
2269,NA,NA,1,1,NA,4,79,NA,NA
2270,NA,NA,NA,2,NA,NA,85,1,2
2271,NA,NA,NA,NA,NA,NA,NA,NA,2
