"id","cwb_1_sim","cwb_2_sim","cwb_3_sim","cwb_4_sim","res_1","res_2","dem_1_sim","res_1_sim","res_2_sim","dem_2_sim","dem_3_sim","cwb_scale"
1813,NA,NA,NA,NA,1,3,NA,2,1,NA,2,NA
1814,2,1,NA,NA,2,NA,NA,NA,8,2,NA,908
1815,NA,NA,NA,NA,NA,13,2,NA,NA,1,NA,NA
1816,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA
1817,2,1,NA,NA,1,10,NA,2,NA,2,NA,909.5
1818,2,NA,1,1,3,5,NA,NA,15,NA,2,910
1819,2,1,NA,1,2,5,70,2,3,2,NA,910.5
1820,NA,2,NA,NA,NA,4,33,NA,8,NA,NA,NA
1821,NA,NA,NA,1,1,4,NA,1,15,4,NA,NA
1822,NA,NA,1,NA,2,4,60,NA,NA,1,2,NA
1823,NA,NA,NA,NA,NA,NA,NA,3,NA,1,2,NA
1824,1,1,1,1,NA,16,73,NA,16,NA,2,912.5
1825,NA,NA,1,NA,NA,NA,NA,2,15,1,2,NA
1826,NA,1,NA,NA,NA,2,36,2,4,NA,2,NA
1827,1,NA,NA,NA,NA,2,NA,3,11,3,2,914
1828,1,1,NA,NA,NA,12,NA,2,NA,NA,NA,914.5
1829,2,1,NA,NA,NA,6,NA,NA,13,NA,2,915.5
1830,NA,2,NA,NA,3,5,NA,NA,NA,1,2,NA
1831,NA,NA,NA,NA,1,5,39,3,11,1,2,NA
1832,NA,2,1,2,NA,4,68,1,9,NA,2,NA
1833,1,NA,NA,NA,2,NA,NA,NA,9,NA,2,917
1834,NA,1,NA,NA,NA,14,18,2,4,NA,2,NA
1835,NA,1,NA,NA,NA,10,NA,NA,12,3,2,NA
1836,NA,NA,1,NA,1,14,NA,3,4,1,NA,NA
1837,NA,1,NA,NA,2,15,86,NA,12,1,2,NA
1838,1,1,1,NA,NA,11,84,2,11,NA,1,919.5
1839,NA,1,1,2,1,NA,NA,3,14,NA,NA,NA
1840,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA
1841,NA,1,2,NA,2,NA,62,3,NA,NA,NA,NA
1842,NA,1,NA,NA,NA,2,73,NA,11,1,NA,NA
1843,NA,1,NA,NA,2,14,NA,NA,13,1,NA,NA
1844,2,NA,NA,NA,2,NA,60,1,16,1,NA,923
1845,NA,1,NA,NA,NA,NA,NA,NA,2,4,NA,NA
1846,1,1,1,NA,2,NA,NA,2,NA,2,NA,923.5
1847,2,1,NA,1,NA,10,NA,2,1,NA,NA,924.5
1848,NA,1,1,1,3,NA,NA,3,15,1,2,NA
1849,NA,1,1,1,NA,8,11,1,9,4,2,NA
1850,2,1,NA,2,NA,4,41,1,2,1,2,926
1851,NA,1,1,2,1,3,50,NA,13,3,2,NA
1852,1,2,NA,NA,NA,NA,NA,NA,9,1,2,926.5
1853,2,1,NA,NA,NA,NA,NA,1,2,NA,2,927.5
1854,NA,1,NA,1,NA,2,26,NA,NA,1,2,NA
1855,NA,1,NA,1,NA,NA,84,NA,NA,2,NA,NA
1856,NA,1,1,NA,3,6,NA,3,NA,NA,2,NA
1857,NA,1,1,NA,NA,NA,0,2,NA,NA,2,NA
1858,NA,2,1,1,2,5,NA,3,3,3,2,NA
1859,2,1,NA,NA,NA,7,NA,NA,3,1,2,930.5
1860,NA,1,1,NA,NA,9,NA,1,NA,1,2,NA
1861,NA,1,1,2,3,14,NA,2,NA,1,2,NA
1862,NA,NA,NA,NA,NA,9,NA,1,2,NA,2,NA
1863,2,NA,NA,2,NA,1,NA,NA,NA,3,2,932.5
1864,1,1,NA,NA,3,16,NA,3,11,NA,NA,932.5
1865,2,1,NA,NA,NA,4,NA,NA,NA,1,2,933.5
1866,2,NA,NA,2,2,NA,77,NA,NA,NA,NA,934
1867,NA,1,NA,2,NA,5,NA,NA,10,1,NA,NA
1868,NA,NA,1,2,2,NA,26,2,11,NA,NA,NA
1869,1,1,1,2,NA,5,9,1,10,NA,2,935
1870,NA,1,1,NA,1,5,29,1,15,1,NA,NA
1871,NA,NA,NA,NA,3,5,49,2,3,NA,NA,NA
1872,NA,1,NA,NA,NA,5,67,1,NA,1,NA,NA
1873,NA,NA,NA,1,2,NA,24,NA,NA,1,NA,NA
1874,2,NA,2,NA,3,12,NA,NA,16,NA,NA,938
1875,2,1,NA,NA,NA,15,NA,1,14,1,2,938.5
1876,2,NA,NA,NA,1,NA,62,NA,10,NA,2,939
1877,NA,1,NA,1,2,3,8,3,11,3,NA,NA
1878,NA,1,1,1,NA,8,83,2,15,NA,2,NA
1879,1,1,NA,NA,2,NA,NA,2,NA,NA,NA,940
1880,NA,1,1,2,NA,10,NA,2,14,1,2,NA
1881,2,NA,NA,1,NA,NA,NA,3,NA,NA,2,941.5
1882,NA,1,NA,NA,1,5,81,1,10,NA,2,NA
1883,2,NA,1,NA,1,9,NA,NA,7,NA,2,942.5
1884,1,NA,1,NA,1,3,NA,NA,13,1,NA,942.5
1885,NA,1,1,2,NA,NA,NA,3,8,NA,2,NA
1886,NA,NA,1,NA,3,1,26,NA,6,1,1,NA
1887,NA,1,1,NA,1,7,7,2,NA,2,2,NA
1888,1,NA,NA,2,2,11,58,NA,15,NA,2,944.5
1889,2,1,NA,NA,NA,14,77,NA,NA,3,NA,945.5
1890,NA,1,1,NA,NA,NA,9,NA,NA,NA,NA,NA
1891,1,NA,1,NA,1,11,70,2,6,1,2,946
1892,NA,1,NA,NA,2,5,42,NA,NA,1,NA,NA
1893,2,2,NA,NA,NA,13,NA,3,NA,2,2,947.5
1894,2,NA,NA,NA,1,NA,NA,3,12,1,NA,948
1895,2,NA,NA,NA,NA,NA,28,2,5,1,2,948.5
1896,NA,NA,NA,NA,NA,16,NA,NA,NA,NA,2,NA
1897,NA,NA,2,NA,1,1,NA,NA,14,1,2,NA
1898,NA,1,NA,NA,1,NA,87,NA,NA,1,NA,NA
1899,2,1,1,NA,1,1,NA,NA,8,NA,2,950.5
1900,NA,1,1,NA,2,9,39,3,NA,1,NA,NA
1901,NA,1,NA,NA,NA,NA,88,3,3,NA,NA,NA
1902,1,NA,NA,NA,NA,6,21,1,NA,NA,NA,951.5
1903,1,1,NA,NA,1,4,72,2,9,NA,NA,952
1904,NA,1,1,2,NA,NA,53,NA,NA,NA,2,NA
1905,2,1,NA,NA,2,12,23,1,2,1,NA,953.5
1906,NA,NA,1,NA,NA,13,14,NA,NA,1,NA,NA
1907,NA,1,NA,2,NA,14,29,3,NA,NA,2,NA
1908,2,1,1,2,2,NA,60,2,10,1,2,955
1909,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA
1910,2,NA,NA,NA,NA,12,9,NA,NA,1,2,956
1911,2,NA,NA,NA,NA,NA,62,2,NA,NA,NA,956.5
1912,1,NA,NA,NA,3,8,9,1,16,4,NA,956.5
1913,1,1,1,NA,NA,3,49,2,1,NA,2,957
1914,NA,1,NA,1,NA,2,NA,2,1,1,NA,NA
1915,2,1,1,NA,2,7,72,3,13,1,NA,958.5
1916,NA,NA,1,NA,2,14,27,2,NA,1,2,NA
1917,1,1,1,NA,2,12,NA,NA,NA,2,2,959
1918,NA,1,NA,NA,2,5,75,2,16,NA,NA,NA
1919,NA,1,NA,NA,3,12,76,NA,NA,1,NA,NA
1920,2,NA,NA,NA,2,11,NA,NA,NA,1,NA,961
1921,2,1,NA,2,NA,16,29,2,5,1,2,961.5
1922,2,2,1,NA,NA,NA,62,NA,6,1,NA,962
1923,NA,NA,NA,2,NA,NA,8,NA,NA,NA,2,NA
1924,NA,1,NA,NA,3,12,NA,3,NA,1,2,NA
1925,2,1,NA,NA,2,1,14,NA,NA,1,2,963.5
1926,NA,NA,NA,NA,NA,10,17,NA,2,2,2,NA
1927,NA,1,NA,NA,2,NA,42,3,9,1,NA,NA
1928,NA,NA,NA,NA,2,16,NA,1,2,3,2,NA
1929,NA,NA,1,NA,NA,13,NA,2,6,NA,1,NA
1930,2,1,NA,NA,NA,NA,NA,NA,1,1,2,966
1931,NA,NA,NA,1,NA,NA,NA,2,NA,2,2,NA
1932,NA,NA,1,2,NA,4,14,1,NA,1,2,NA
1933,2,NA,NA,NA,2,11,31,2,NA,1,2,967.5
1934,NA,1,1,NA,NA,NA,20,NA,NA,NA,NA,NA
1935,NA,NA,NA,1,3,15,52,NA,12,NA,2,NA
1936,NA,1,NA,1,NA,15,NA,NA,15,1,NA,NA
1937,NA,1,NA,NA,NA,6,NA,NA,2,1,NA,NA
1938,NA,2,1,1,NA,NA,89,NA,7,NA,NA,NA
1939,2,NA,NA,NA,2,13,77,NA,9,NA,NA,970.5
1940,NA,NA,1,NA,NA,16,NA,1,10,NA,NA,NA
1941,2,1,1,NA,NA,NA,47,NA,NA,1,2,971.5
1942,NA,1,1,1,3,8,78,2,6,NA,NA,NA
1943,1,1,1,NA,NA,NA,NA,NA,NA,NA,2,972
1944,2,NA,NA,2,2,16,15,3,9,NA,NA,973
1945,NA,1,NA,NA,NA,6,NA,2,15,1,NA,NA
1946,NA,NA,2,NA,2,12,NA,NA,1,2,2,NA
1947,2,1,NA,2,1,7,70,1,1,NA,2,974.5
1948,NA,NA,NA,2,NA,NA,16,NA,16,NA,NA,NA
1949,2,1,NA,NA,2,7,28,NA,9,1,NA,975.5
1950,NA,2,NA,NA,1,7,55,2,14,NA,NA,NA
1951,NA,NA,NA,NA,NA,NA,25,NA,NA,NA,2,NA
1952,NA,NA,1,NA,2,NA,12,NA,10,1,NA,NA
1953,1,1,1,NA,NA,NA,NA,2,NA,NA,NA,977
1954,2,1,NA,NA,NA,NA,29,NA,NA,1,2,978
1955,NA,1,NA,2,2,9,37,NA,12,NA,2,NA
1956,NA,1,NA,2,1,15,47,2,NA,1,1,NA
1957,NA,1,NA,2,2,NA,36,1,4,NA,2,NA
1958,NA,2,1,NA,NA,6,36,2,1,1,2,NA
1959,1,NA,1,NA,2,6,58,NA,NA,1,2,980
1960,NA,NA,1,NA,NA,10,8,NA,6,NA,2,NA
1961,NA,NA,1,NA,NA,NA,NA,1,2,NA,2,NA
1962,NA,1,NA,NA,NA,9,88,NA,11,NA,NA,NA
1963,2,NA,NA,NA,3,NA,73,NA,NA,NA,NA,982.5
1964,1,NA,1,NA,2,13,NA,1,1,1,2,982.5
1965,NA,1,1,NA,3,14,25,1,9,1,2,NA
1966,1,1,NA,NA,1,13,NA,3,NA,1,NA,983.5
1967,1,1,NA,NA,3,NA,80,3,4,1,NA,984
1968,NA,NA,NA,2,2,9,78,3,NA,1,2,NA
1969,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1970,2,1,2,NA,NA,NA,NA,2,12,1,NA,986
1971,NA,NA,NA,NA,1,8,40,NA,3,1,2,NA
1972,NA,1,NA,NA,NA,NA,28,1,11,NA,NA,NA
1973,1,NA,NA,2,1,14,NA,2,16,1,NA,987
1974,2,1,2,NA,3,11,18,2,NA,NA,2,988
1975,NA,1,1,2,1,13,69,2,6,1,2,NA
1976,NA,1,1,NA,NA,NA,31,1,NA,NA,2,NA
1977,2,NA,1,NA,NA,NA,NA,3,16,3,NA,989.5
1978,NA,NA,1,NA,NA,14,NA,3,7,NA,2,NA
1979,1,1,1,2,2,NA,1,1,9,NA,2,990
1980,NA,NA,NA,NA,3,12,NA,NA,3,1,NA,NA
1981,NA,NA,NA,2,3,5,NA,1,NA,NA,2,NA
1982,NA,NA,NA,1,2,NA,81,NA,11,NA,2,NA
1983,NA,NA,NA,NA,NA,2,NA,NA,NA,1,NA,NA
1984,NA,NA,NA,NA,NA,NA,32,NA,2,NA,NA,NA
1985,1,1,1,NA,NA,NA,67,NA,15,1,2,993
1986,NA,1,1,NA,3,2,NA,1,4,NA,2,NA
1987,NA,1,NA,NA,NA,NA,49,NA,12,4,2,NA
1988,2,NA,NA,NA,2,2,NA,NA,5,1,NA,995
1989,2,NA,NA,NA,NA,5,72,2,NA,1,2,995.5
1990,1,NA,NA,NA,NA,NA,90,NA,NA,1,NA,995.5
1991,2,1,1,2,2,NA,24,2,NA,NA,1,996.5
1992,NA,NA,NA,NA,NA,13,67,1,NA,NA,NA,NA
1993,NA,1,1,1,2,8,71,2,7,NA,2,NA
1994,NA,1,NA,1,1,12,NA,2,11,1,2,NA
1995,2,NA,1,NA,1,6,NA,3,8,1,2,998.5
1996,2,1,1,2,2,NA,19,1,NA,2,2,999
1997,NA,NA,1,NA,2,14,NA,1,NA,1,2,NA
1998,NA,1,NA,2,2,7,NA,2,1,1,2,NA
1999,NA,NA,1,NA,NA,7,54,NA,15,3,2,NA
2000,1,1,1,NA,2,NA,32,3,NA,1,2,1000.5
2001,2,1,1,NA,2,4,NA,1,7,NA,2,1001.5
2002,NA,1,1,NA,NA,8,47,1,NA,1,2,NA
2003,NA,NA,NA,NA,NA,NA,25,NA,3,1,2,NA
2004,1,1,1,1,NA,9,1,2,NA,1,2,1002.5
2005,NA,1,NA,NA,NA,10,NA,NA,NA,1,2,NA
2006,NA,1,NA,NA,1,NA,6,2,NA,NA,2,NA
2007,NA,NA,NA,1,NA,10,NA,2,8,3,2,NA
2008,1,1,NA,NA,2,8,23,2,12,1,2,1004.5
2009,NA,NA,1,NA,2,7,3,NA,1,1,NA,NA
2010,NA,1,NA,NA,3,NA,37,3,NA,NA,NA,NA
2011,NA,1,1,NA,2,9,NA,1,5,1,2,NA
2012,NA,1,NA,NA,2,14,NA,NA,NA,NA,2,NA
2013,NA,1,1,1,1,8,NA,1,8,1,NA,NA
2014,2,2,1,NA,NA,5,29,NA,NA,1,2,1008
2015,NA,NA,1,NA,2,12,6,3,NA,1,2,NA
2016,NA,2,1,NA,NA,NA,NA,2,11,NA,NA,NA
2017,1,NA,NA,NA,2,16,NA,2,12,1,2,1009
2018,NA,NA,NA,2,NA,NA,NA,NA,4,NA,NA,NA
2019,NA,1,NA,NA,1,NA,NA,2,NA,1,NA,NA
2020,1,NA,1,NA,3,NA,18,2,NA,1,NA,1010.5
2021,2,1,NA,NA,2,7,NA,3,6,2,2,1011.5
2022,NA,1,1,NA,1,NA,59,NA,NA,3,2,NA
2023,NA,NA,NA,NA,NA,11,9,2,2,1,2,NA
2024,1,1,1,1,NA,NA,NA,2,NA,2,NA,1012.5
2025,NA,1,NA,NA,NA,9,56,2,7,NA,2,NA
2026,2,1,NA,1,3,15,43,3,NA,1,1,1014
2027,NA,1,NA,NA,NA,13,85,3,NA,1,2,NA
2028,NA,NA,NA,1,2,NA,NA,2,15,1,NA,NA
2029,2,1,NA,1,3,NA,NA,2,2,NA,2,1015.5
2030,NA,1,NA,2,NA,8,39,2,NA,1,NA,NA
2031,NA,1,NA,NA,2,9,NA,2,3,NA,NA,NA
2032,NA,NA,1,NA,NA,4,27,NA,NA,NA,2,NA
2033,1,1,NA,1,1,11,NA,2,6,2,2,1017
2034,2,1,NA,NA,NA,NA,34,2,13,NA,NA,1018
2035,NA,NA,1,NA,NA,9,73,2,7,1,2,NA
2036,2,1,NA,1,NA,NA,43,2,NA,NA,2,1019
2037,NA,1,1,NA,3,NA,79,NA,4,1,NA,NA
2038,NA,1,NA,NA,NA,2,49,NA,14,NA,2,NA
2039,1,NA,NA,2,NA,16,68,NA,10,3,NA,1020
2040,NA,1,1,NA,NA,15,NA,2,NA,NA,NA,NA
2041,NA,1,1,NA,1,NA,NA,2,10,NA,2,NA
2042,1,1,NA,1,1,NA,56,2,11,1,NA,1021.5
2043,1,NA,NA,NA,NA,16,68,2,4,NA,2,1022
2044,1,1,NA,NA,NA,5,NA,NA,16,2,NA,1022.5
2045,2,1,NA,NA,NA,NA,NA,1,9,2,2,1023.5
2046,NA,1,1,1,NA,9,9,NA,3,NA,NA,NA
2047,2,1,1,NA,NA,7,28,3,15,NA,NA,1024.5
2048,NA,1,NA,NA,NA,NA,10,NA,NA,NA,NA,NA
2049,2,1,NA,2,2,NA,3,NA,8,1,2,1025.5
2050,NA,2,1,NA,3,11,NA,2,NA,4,2,NA
2051,NA,1,1,2,NA,8,NA,NA,16,NA,2,NA
2052,NA,NA,NA,1,NA,NA,83,1,11,2,2,NA
2053,NA,NA,NA,2,2,NA,59,3,14,1,NA,NA
2054,NA,1,1,2,NA,NA,NA,NA,10,NA,2,NA
2055,NA,NA,NA,NA,NA,7,50,NA,14,NA,NA,NA
2056,NA,1,NA,NA,1,8,7,NA,NA,NA,NA,NA
2057,NA,1,NA,NA,NA,9,52,2,10,3,2,NA
2058,NA,2,NA,2,2,NA,NA,NA,6,1,2,NA
2059,NA,1,NA,1,2,14,22,2,8,NA,2,NA
2060,NA,1,NA,NA,NA,14,NA,2,13,NA,NA,NA
2061,NA,1,NA,1,2,12,27,2,16,1,2,NA
2062,2,1,NA,NA,1,3,NA,1,13,NA,2,1032
2063,NA,NA,NA,2,NA,NA,52,NA,NA,1,NA,NA
2064,NA,1,NA,NA,NA,NA,34,2,NA,1,NA,NA
2065,NA,NA,NA,NA,2,15,88,1,3,NA,2,NA
2066,NA,NA,NA,NA,2,NA,79,NA,1,1,2,NA
2067,NA,1,1,1,1,NA,NA,NA,4,2,2,NA
2068,NA,1,NA,1,NA,NA,33,NA,NA,NA,2,NA
2069,NA,1,NA,NA,NA,7,61,1,NA,NA,2,NA
2070,1,1,NA,NA,NA,NA,11,3,NA,3,2,1035.5
2071,NA,2,NA,1,1,NA,90,NA,2,2,NA,NA
2072,NA,NA,1,NA,2,NA,56,2,NA,1,2,NA
2073,NA,1,NA,NA,NA,10,NA,NA,NA,NA,NA,NA
2074,NA,NA,1,NA,NA,3,57,1,8,NA,2,NA
2075,2,2,1,NA,3,1,30,NA,7,4,2,1038.5
2076,NA,NA,NA,NA,2,1,NA,1,10,NA,NA,NA
2077,NA,1,NA,NA,NA,1,80,NA,NA,NA,NA,NA
2078,1,NA,1,1,2,10,NA,1,NA,2,2,1039.5
2079,2,1,1,NA,NA,4,61,NA,NA,1,2,1040.5
2080,NA,1,NA,1,NA,12,77,2,5,NA,NA,NA
2081,NA,NA,NA,2,2,NA,26,1,12,2,2,NA
2082,NA,NA,NA,NA,NA,15,NA,2,15,1,NA,NA
2083,NA,1,NA,2,NA,NA,19,NA,NA,1,NA,NA
2084,NA,1,1,2,2,NA,NA,1,11,4,2,NA
2085,1,NA,NA,NA,1,NA,46,2,5,1,2,1043
2086,NA,NA,NA,NA,2,NA,NA,1,NA,1,1,NA
2087,NA,1,NA,NA,NA,9,NA,2,9,2,NA,NA
2088,NA,1,1,NA,NA,7,44,NA,9,NA,2,NA
2089,NA,1,NA,NA,NA,3,53,NA,NA,NA,2,NA
2090,1,1,1,1,3,NA,87,2,5,1,2,1045.5
2091,2,1,NA,NA,1,NA,65,1,NA,1,2,1046.5
2092,NA,1,NA,1,1,14,NA,NA,6,1,NA,NA
2093,NA,NA,NA,NA,2,16,NA,2,13,1,2,NA
2094,NA,1,2,2,1,7,58,NA,1,NA,2,NA
2095,2,1,NA,NA,NA,NA,12,1,16,NA,NA,1048.5
2096,NA,1,NA,NA,2,NA,NA,1,NA,1,NA,NA
2097,NA,NA,NA,1,NA,NA,26,1,7,NA,NA,NA
2098,1,1,1,NA,NA,NA,56,NA,9,1,2,1049.5
2099,NA,NA,NA,2,3,4,51,2,14,1,NA,NA
2100,NA,NA,NA,NA,3,5,18,2,5,1,2,NA
2101,NA,1,NA,NA,NA,13,NA,2,15,3,NA,NA
2102,NA,NA,NA,NA,NA,4,71,NA,NA,NA,NA,NA
2103,NA,NA,NA,NA,NA,8,NA,2,16,1,2,NA
2104,2,1,NA,NA,2,14,NA,NA,7,1,1,1053
2105,NA,1,1,1,3,8,57,NA,NA,NA,2,NA
2106,2,1,1,NA,1,12,40,NA,7,1,2,1054
2107,NA,1,NA,NA,2,10,38,NA,NA,1,1,NA
2108,NA,NA,NA,NA,1,1,NA,2,4,NA,2,NA
2109,NA,1,NA,2,3,NA,43,NA,16,NA,NA,NA
2110,NA,1,NA,2,NA,5,NA,2,NA,4,2,NA
2111,NA,1,1,1,3,NA,11,NA,3,1,2,NA
2112,1,1,NA,NA,2,NA,70,NA,12,2,NA,1056.5
2113,NA,1,NA,NA,NA,3,14,1,9,1,2,NA
2114,NA,NA,NA,NA,2,6,NA,2,7,NA,2,NA
2115,NA,NA,NA,2,NA,NA,NA,NA,10,NA,2,NA
2116,NA,1,1,NA,NA,NA,65,NA,NA,1,NA,NA
2117,1,NA,NA,NA,NA,NA,63,NA,NA,1,NA,1059
2118,NA,1,NA,NA,2,NA,5,2,NA,1,2,NA
2119,NA,1,NA,1,2,4,NA,3,9,NA,2,NA
2120,2,1,NA,2,NA,NA,33,2,NA,1,NA,1061
2121,NA,NA,NA,2,3,NA,88,2,15,1,2,NA
2122,NA,1,NA,NA,NA,NA,33,NA,4,NA,NA,NA
2123,NA,NA,NA,NA,NA,8,3,NA,2,NA,NA,NA
2124,NA,2,NA,2,1,1,11,NA,7,NA,NA,NA
2125,2,1,NA,NA,NA,8,32,2,11,1,NA,1063.5
2126,NA,NA,NA,NA,NA,NA,NA,NA,7,1,NA,NA
2127,NA,NA,1,NA,NA,9,21,2,7,NA,2,NA
2128,NA,1,2,NA,2,NA,90,NA,10,1,2,NA
2129,NA,1,1,NA,NA,8,NA,NA,1,1,2,NA
2130,NA,NA,NA,2,2,NA,26,NA,8,NA,2,NA
2131,1,NA,NA,NA,NA,13,1,2,6,2,2,1066
2132,NA,NA,NA,NA,1,9,37,1,NA,1,NA,NA
2133,NA,NA,1,NA,1,3,31,NA,1,NA,NA,NA
2134,NA,1,NA,NA,NA,NA,59,2,13,1,NA,NA
2135,1,1,NA,NA,NA,16,NA,1,11,NA,NA,1068
2136,1,NA,NA,NA,NA,5,35,NA,NA,1,2,1068.5
2137,2,1,NA,NA,NA,7,33,NA,2,2,2,1069.5
2138,NA,NA,1,NA,1,10,NA,2,14,NA,2,NA
2139,NA,NA,1,NA,NA,NA,57,2,1,1,NA,NA
2140,NA,NA,NA,1,NA,7,33,2,NA,NA,NA,NA
2141,1,NA,1,NA,NA,NA,NA,1,9,1,NA,1071
2142,2,NA,NA,NA,1,8,3,1,NA,1,2,1072
2143,1,NA,NA,NA,1,9,13,1,8,2,NA,1072
2144,1,1,1,NA,2,NA,NA,2,9,1,NA,1072.5
2145,NA,1,NA,2,2,15,31,1,6,NA,NA,NA
2146,NA,NA,1,NA,1,2,69,NA,NA,1,NA,NA
2147,NA,1,1,NA,1,NA,2,2,7,NA,2,NA
2148,NA,NA,NA,2,NA,NA,3,NA,9,3,NA,NA
2149,1,1,NA,NA,2,14,58,2,1,2,NA,1075
2150,NA,1,1,NA,NA,NA,42,NA,NA,1,2,NA
2151,NA,1,NA,1,NA,NA,31,NA,1,NA,2,NA
2152,NA,1,1,NA,NA,NA,75,1,12,1,2,NA
2153,NA,NA,NA,NA,NA,7,31,NA,NA,1,NA,NA
2154,NA,NA,NA,NA,2,6,NA,NA,1,1,NA,NA
2155,NA,1,NA,1,3,4,32,NA,NA,1,2,NA
2156,2,1,NA,NA,NA,12,12,3,10,NA,2,1079
2157,2,1,1,NA,2,10,48,1,5,NA,2,1079.5
2158,2,1,NA,NA,1,7,85,2,2,NA,1,1080
2159,2,1,NA,NA,2,NA,69,2,2,1,2,1080.5
2160,2,NA,NA,NA,NA,NA,NA,1,NA,1,NA,1081
2161,1,1,1,NA,2,NA,NA,2,NA,4,NA,1081
2162,NA,NA,NA,NA,1,NA,NA,3,NA,NA,2,NA
2163,NA,1,NA,2,NA,9,88,2,9,1,NA,NA
2164,NA,NA,1,NA,NA,9,58,2,NA,1,NA,NA
2165,NA,1,1,NA,1,NA,NA,1,9,1,NA,NA
2166,NA,1,NA,NA,2,NA,30,1,8,1,NA,NA
2167,1,1,1,NA,1,1,NA,2,16,NA,2,1084
2168,NA,2,2,2,NA,NA,NA,1,11,NA,NA,NA
2169,NA,NA,1,NA,2,10,31,2,NA,NA,NA,NA
2170,NA,1,NA,NA,NA,NA,NA,NA,4,1,2,NA
2171,NA,2,1,NA,2,7,NA,2,NA,1,NA,NA
2172,NA,NA,1,NA,NA,15,54,NA,NA,1,NA,NA
2173,NA,1,1,NA,3,NA,NA,2,3,1,2,NA
2174,1,2,NA,1,NA,6,57,1,NA,4,NA,1087.5
2175,NA,2,NA,NA,NA,14,66,2,13,NA,NA,NA
2176,NA,NA,NA,NA,NA,3,45,2,NA,NA,2,NA
2177,NA,1,NA,2,NA,NA,NA,NA,4,1,NA,NA
2178,1,2,NA,2,2,13,60,3,4,1,1,1089.5
2179,2,1,NA,NA,2,10,21,1,1,NA,1,1090.5
2180,NA,1,NA,NA,2,8,52,NA,NA,1,2,NA
2181,2,NA,1,NA,2,NA,83,3,NA,1,NA,1091.5
2182,NA,1,NA,NA,3,NA,64,3,NA,1,NA,NA
2183,NA,NA,1,NA,2,NA,47,NA,1,1,NA,NA
2184,NA,NA,NA,NA,2,NA,NA,2,13,1,NA,NA
2185,2,1,1,NA,NA,NA,19,1,6,1,2,1093.5
2186,2,NA,1,NA,2,4,NA,1,3,NA,2,1094
2187,2,NA,1,2,2,12,23,2,3,1,NA,1094.5
2188,NA,NA,NA,2,2,2,4,3,7,1,NA,NA
2189,NA,NA,NA,NA,1,NA,13,2,4,3,2,NA
2190,NA,NA,NA,NA,2,NA,NA,2,9,NA,NA,NA
2191,NA,NA,NA,NA,1,15,NA,3,14,1,NA,NA
2192,NA,1,NA,2,NA,NA,51,NA,NA,NA,1,NA
2193,NA,1,1,NA,3,8,3,NA,14,1,2,NA
2194,NA,NA,NA,NA,NA,NA,69,NA,11,1,NA,NA
2195,NA,NA,NA,1,2,NA,48,2,16,NA,NA,NA
2196,1,NA,NA,2,NA,14,50,NA,NA,NA,NA,1098.5
2197,NA,NA,NA,NA,3,9,4,1,NA,1,2,NA
2198,2,1,NA,2,NA,9,0,2,1,1,2,1100
2199,NA,1,NA,NA,3,2,31,NA,NA,1,2,NA
2200,1,NA,1,NA,1,11,NA,2,NA,NA,NA,1100.5
2201,NA,1,NA,NA,2,NA,NA,NA,5,1,2,NA
2202,NA,NA,NA,NA,NA,7,NA,2,4,1,NA,NA
2203,NA,1,1,NA,3,11,NA,1,NA,NA,1,NA
2204,NA,NA,1,1,NA,3,6,NA,8,2,2,NA
2205,2,NA,NA,NA,3,15,NA,2,1,NA,2,1103.5
2206,1,1,NA,NA,2,15,75,3,5,NA,2,1103.5
2207,NA,NA,NA,1,1,3,70,3,8,NA,2,NA
2208,NA,1,NA,NA,NA,6,73,NA,NA,2,2,NA
2209,NA,NA,NA,1,2,NA,50,NA,1,NA,2,NA
2210,1,1,NA,NA,3,5,22,2,14,NA,2,1105.5
2211,NA,2,NA,NA,NA,14,NA,2,NA,NA,NA,NA
2212,NA,1,1,NA,NA,NA,18,2,8,1,2,NA
2213,NA,1,NA,1,2,9,NA,NA,3,1,2,NA
2214,1,1,1,NA,1,NA,2,3,6,NA,NA,1107.5
2215,2,1,NA,1,1,9,47,NA,15,NA,2,1108.5
2216,2,NA,NA,NA,3,6,NA,2,NA,1,2,1109
2217,NA,NA,1,1,1,3,NA,NA,NA,4,2,NA
2218,1,1,1,NA,NA,2,57,1,NA,NA,NA,1109.5
2219,NA,1,1,1,3,2,57,3,NA,1,NA,NA
2220,NA,1,NA,NA,3,10,66,1,NA,1,NA,NA
2221,NA,1,1,NA,NA,3,NA,NA,13,NA,NA,NA
2222,1,NA,NA,NA,2,15,16,NA,13,1,NA,1111.5
2223,NA,1,NA,NA,3,11,37,NA,NA,1,NA,NA
2224,1,NA,NA,NA,2,NA,NA,3,13,1,2,1112.5
2225,NA,NA,NA,NA,NA,12,NA,2,NA,1,NA,NA
2226,NA,NA,NA,NA,1,NA,26,1,4,1,NA,NA
2227,NA,1,1,NA,NA,NA,79,NA,15,2,2,NA
2228,NA,NA,1,1,NA,6,13,NA,2,1,NA,NA
