"id","cwb_1_sim","cwb_2_sim","cwb_3_sim","cwb_4_sim","res_1_sim","res_2_sim","dem_1_sim","dem_2_sim","dem_3_sim"
1706,NA,1,1,2,NA,NA,NA,1,NA
1707,NA,1,1,NA,2,NA,58,NA,2
1708,2,1,NA,NA,NA,10,71,NA,2
1709,2,1,1,1,3,2,NA,1,NA
1710,NA,1,1,NA,1,4,36,1,NA
1711,NA,NA,1,1,2,NA,NA,NA,NA
1712,2,NA,NA,1,NA,NA,9,1,NA
1713,NA,NA,NA,1,NA,NA,32,NA,2
1714,NA,1,1,NA,2,3,69,1,2
1715,1,2,1,1,NA,4,77,NA,2
1716,NA,NA,NA,1,NA,1,0,NA,2
1717,2,NA,1,2,1,8,90,1,2
1718,2,1,1,1,NA,NA,63,NA,2
1719,NA,NA,NA,2,NA,NA,13,1,2
1720,NA,2,1,NA,1,11,3,4,2
1721,NA,NA,1,NA,NA,10,NA,NA,2
1722,2,1,1,2,NA,3,5,NA,NA
1723,NA,NA,1,NA,3,NA,64,NA,NA
1724,1,NA,1,1,NA,4,75,1,NA
1725,2,NA,1,1,NA,8,39,1,NA
1726,2,NA,NA,1,1,NA,41,NA,2
1727,NA,1,1,2,3,9,74,2,2
1728,2,1,1,1,1,NA,70,1,2
1729,NA,1,NA,NA,1,NA,39,3,2
1730,2,1,1,NA,2,16,NA,1,2
1731,NA,NA,NA,1,2,16,0,1,NA
1732,NA,NA,1,1,2,NA,45,1,2
1733,2,NA,1,NA,1,15,2,1,2
1734,NA,1,NA,1,1,10,84,NA,2
1735,1,2,1,NA,2,13,NA,4,NA
1736,2,NA,1,1,2,NA,NA,NA,2
1737,2,1,NA,NA,NA,1,83,NA,2
1738,2,NA,1,2,3,NA,3,3,2
1739,2,1,1,1,NA,NA,NA,1,2
1740,2,NA,NA,1,1,NA,18,NA,1
1741,NA,1,1,1,2,NA,NA,1,2
1742,NA,1,1,1,3,10,NA,1,2
1743,NA,1,1,2,NA,8,62,1,2
1744,1,NA,NA,1,1,NA,13,1,2
1745,1,2,1,NA,2,NA,79,1,2
1746,2,NA,1,1,NA,12,NA,1,2
1747,2,NA,NA,2,2,NA,12,1,2
1748,NA,NA,1,NA,NA,9,72,3,NA
1749,2,NA,1,1,2,14,83,NA,2
1750,NA,1,1,1,NA,3,86,1,NA
1751,2,1,1,NA,2,8,56,4,2
1752,2,1,NA,2,NA,NA,36,1,NA
1753,1,2,1,NA,NA,NA,14,NA,NA
1754,NA,1,NA,1,NA,NA,46,1,NA
1755,NA,1,NA,NA,NA,NA,NA,NA,2
1756,2,2,NA,NA,1,NA,39,NA,2
1757,2,1,NA,NA,NA,NA,50,1,NA
1758,2,NA,1,NA,NA,14,33,1,2
1759,NA,1,NA,NA,NA,NA,NA,1,2
1760,NA,1,NA,NA,1,NA,86,2,NA
1761,2,NA,1,1,2,NA,90,NA,2
1762,2,NA,1,NA,NA,9,NA,NA,2
1763,2,NA,1,2,2,2,1,4,NA
1764,NA,1,1,1,1,14,27,3,NA
1765,1,NA,NA,2,1,NA,78,1,2
1766,NA,1,1,NA,NA,NA,NA,1,NA
1767,1,1,NA,2,1,NA,47,1,2
1768,2,1,1,1,3,NA,34,1,NA
1769,NA,NA,NA,1,NA,1,34,NA,NA
1770,NA,1,1,2,2,15,NA,1,NA
1771,NA,1,2,1,2,9,NA,1,NA
1772,NA,NA,NA,NA,2,4,NA,NA,2
1773,2,1,1,1,NA,15,70,NA,2
1774,2,1,NA,1,NA,NA,22,NA,NA
1775,1,1,1,2,NA,NA,55,1,2
1776,2,1,1,2,1,16,61,4,2
1777,NA,1,NA,NA,2,12,NA,1,NA
1778,NA,NA,NA,1,NA,3,NA,NA,2
1779,2,1,1,2,NA,6,26,1,2
1780,NA,NA,1,NA,1,8,69,NA,NA
1781,NA,1,1,NA,NA,NA,90,NA,2
1782,NA,NA,NA,NA,1,13,NA,NA,NA
1783,1,1,1,1,NA,NA,3,NA,2
1784,2,1,NA,1,2,4,61,1,NA
1785,2,1,1,NA,3,1,11,1,2
1786,NA,2,1,NA,3,10,13,1,2
1787,2,1,NA,1,NA,NA,NA,1,2
1788,NA,1,1,1,2,3,NA,1,2
1789,NA,1,2,NA,3,NA,60,1,2
1790,2,NA,1,1,NA,NA,NA,1,2
1791,NA,2,NA,2,2,NA,NA,3,2
1792,NA,NA,1,NA,NA,1,70,1,NA
1793,NA,NA,NA,NA,2,11,14,NA,2
1794,1,1,1,NA,NA,12,NA,1,NA
1795,2,1,1,NA,1,4,65,1,2
1796,NA,NA,1,2,1,NA,36,1,2
1797,1,NA,NA,1,3,8,12,2,2
1798,NA,1,NA,NA,NA,NA,43,1,2
1799,1,1,NA,NA,2,9,81,NA,NA
1800,2,NA,1,NA,2,NA,NA,1,2
1801,NA,NA,2,NA,NA,NA,65,1,2
1802,1,1,1,2,3,2,NA,1,NA
1803,NA,1,1,2,2,2,68,NA,NA
1804,1,1,NA,1,NA,NA,42,1,NA
1805,2,NA,1,2,NA,NA,NA,1,2
1806,2,1,NA,NA,NA,5,NA,1,2
1807,1,1,1,2,3,12,25,3,2
1808,NA,1,1,NA,NA,4,NA,1,2
1809,NA,1,NA,1,2,NA,NA,1,2
1810,2,NA,NA,NA,NA,15,NA,NA,2
1811,1,NA,NA,NA,NA,2,30,1,NA
1812,1,1,1,2,2,11,48,NA,NA
1813,NA,NA,1,1,NA,NA,63,NA,2
1814,NA,1,1,2,NA,6,NA,4,2
1815,2,1,1,1,NA,9,53,3,2
1816,2,1,1,2,1,16,67,NA,2
1817,NA,NA,1,2,NA,NA,19,3,NA
1818,NA,1,1,2,NA,NA,NA,NA,NA
1819,NA,NA,1,NA,3,6,NA,1,NA
1820,1,1,1,2,NA,NA,NA,NA,NA
1821,2,1,NA,1,NA,3,1,NA,NA
1822,1,NA,1,NA,2,9,NA,1,NA
1823,1,1,NA,2,NA,4,42,3,2
1824,NA,1,1,NA,NA,8,57,NA,2
1825,1,1,1,1,NA,NA,NA,1,NA
1826,1,1,1,1,3,NA,NA,NA,NA
1827,NA,1,1,NA,2,2,17,NA,NA
1828,NA,1,1,1,NA,NA,0,1,NA
1829,NA,1,NA,NA,3,NA,NA,1,2
1830,1,1,NA,2,NA,16,82,1,NA
1831,2,NA,1,2,NA,14,NA,NA,2
1832,NA,NA,NA,1,3,NA,73,1,2
1833,NA,NA,1,1,NA,3,18,1,NA
1834,1,NA,1,1,NA,NA,NA,NA,NA
1835,NA,2,1,2,3,11,NA,NA,2
1836,2,1,NA,1,NA,12,90,NA,2
1837,2,NA,NA,NA,NA,14,NA,1,NA
1838,NA,NA,NA,1,1,3,7,1,NA
1839,NA,NA,NA,2,NA,4,70,1,2
1840,2,1,NA,NA,3,10,89,1,2
1841,NA,1,1,NA,NA,5,NA,1,2
1842,1,1,1,NA,NA,13,NA,1,2
1843,NA,NA,1,2,NA,13,85,NA,NA
1844,2,NA,1,1,1,NA,NA,NA,2
1845,1,1,NA,2,1,NA,NA,1,2
1846,2,1,1,NA,2,NA,87,4,2
1847,NA,1,NA,NA,2,NA,53,NA,NA
1848,2,1,1,2,1,NA,NA,3,2
1849,NA,1,2,1,3,13,70,1,2
1850,NA,NA,NA,1,2,1,11,3,2
1851,NA,1,NA,1,NA,7,NA,1,2
1852,2,NA,NA,1,1,NA,NA,1,2
1853,2,NA,NA,NA,2,NA,NA,1,2
1854,2,NA,1,2,NA,9,19,NA,1
1855,NA,NA,NA,NA,3,9,79,3,2
1856,2,NA,1,NA,1,4,NA,2,2
1857,NA,1,NA,NA,1,NA,NA,2,NA
1858,1,1,NA,2,1,14,68,1,2
1859,1,1,1,NA,NA,14,40,1,2
1860,NA,NA,NA,2,NA,16,NA,2,2
1861,NA,1,2,NA,NA,4,26,1,2
1862,2,1,1,1,3,NA,NA,NA,2
1863,2,NA,1,NA,NA,8,81,1,2
1864,2,1,1,1,2,6,60,NA,NA
1865,NA,1,NA,1,1,4,6,NA,2
1866,2,1,1,NA,2,NA,40,NA,NA
1867,1,1,1,NA,1,NA,70,NA,2
1868,NA,1,NA,NA,2,NA,43,1,NA
1869,NA,2,NA,NA,NA,4,31,NA,NA
1870,NA,1,1,1,1,NA,77,1,2
1871,1,NA,1,2,NA,11,59,NA,2
1872,NA,1,NA,NA,2,NA,NA,1,2
1873,NA,1,1,NA,NA,4,21,1,2
1874,NA,1,1,1,1,NA,78,2,2
1875,NA,1,1,2,3,NA,NA,1,2
1876,NA,1,1,1,3,10,68,NA,NA
1877,NA,1,1,1,NA,10,NA,NA,NA
1878,NA,NA,1,NA,1,NA,41,3,NA
1879,2,1,1,2,3,NA,NA,NA,2
1880,2,1,1,NA,NA,NA,NA,NA,2
1881,NA,1,1,2,2,NA,72,2,2
1882,2,1,NA,2,1,13,NA,NA,2
1883,1,1,1,1,NA,12,NA,1,2
1884,NA,1,1,1,NA,14,62,NA,NA
1885,NA,1,1,NA,2,9,NA,1,2
1886,NA,1,1,NA,NA,15,73,NA,NA
1887,1,NA,2,NA,NA,3,NA,NA,2
1888,2,1,NA,1,NA,NA,NA,NA,NA
1889,2,1,NA,NA,NA,NA,75,1,2
1890,NA,NA,1,1,2,6,59,1,NA
1891,2,1,1,1,1,15,35,NA,NA
1892,2,1,2,1,NA,3,14,1,NA
1893,NA,NA,NA,NA,3,5,NA,3,NA
1894,NA,1,1,NA,2,NA,7,1,2
1895,2,1,NA,2,2,2,68,1,NA
1896,1,NA,1,1,NA,11,NA,3,2
1897,1,1,NA,NA,1,NA,65,NA,NA
1898,2,NA,NA,1,3,NA,14,NA,2
1899,2,NA,NA,2,1,13,37,3,NA
1900,1,1,2,NA,NA,NA,38,1,2
1901,2,1,NA,2,2,14,25,NA,1
1902,2,1,1,NA,NA,NA,72,3,NA
1903,NA,1,NA,2,2,NA,48,NA,2
1904,2,1,NA,1,NA,NA,29,3,2
1905,2,1,1,2,3,NA,25,1,2
1906,NA,NA,1,2,1,9,NA,1,NA
1907,NA,1,NA,2,2,NA,63,NA,2
1908,NA,NA,NA,NA,1,13,66,1,2
1909,2,NA,NA,2,NA,NA,NA,1,NA
1910,2,1,1,1,NA,8,39,4,2
1911,2,NA,NA,NA,NA,NA,NA,1,NA
1912,1,1,1,NA,2,NA,NA,NA,2
1913,1,1,1,2,3,14,20,2,NA
1914,2,NA,NA,NA,1,NA,15,1,NA
1915,1,NA,1,1,NA,14,52,NA,NA
1916,2,1,1,2,NA,2,85,NA,2
1917,1,1,1,1,NA,16,74,1,2
1918,1,1,1,2,3,8,NA,1,2
1919,2,NA,1,1,2,14,73,1,2
1920,2,2,NA,NA,1,16,NA,1,2
1921,1,1,1,1,1,9,64,NA,2
1922,NA,1,NA,NA,NA,10,31,1,2
1923,NA,2,1,1,NA,NA,52,1,2
1924,2,1,NA,NA,NA,NA,30,1,2
1925,NA,NA,NA,NA,3,6,87,NA,2
1926,1,1,NA,1,1,10,NA,NA,NA
1927,NA,1,1,2,2,NA,64,NA,2
1928,NA,NA,NA,NA,NA,12,6,2,NA
1929,2,1,NA,1,NA,NA,30,1,2
1930,NA,1,1,NA,3,NA,NA,NA,2
1931,NA,2,NA,NA,NA,3,38,NA,2
1932,2,2,1,NA,NA,NA,NA,NA,2
1933,NA,NA,NA,NA,2,NA,60,NA,2
1934,2,NA,NA,NA,NA,12,51,1,2
1935,1,1,1,NA,NA,NA,NA,1,2
1936,1,NA,NA,NA,1,4,37,1,NA
1937,1,1,NA,1,NA,NA,NA,2,2
1938,NA,1,1,1,NA,NA,77,2,1
1939,2,NA,1,NA,2,15,44,4,2
1940,2,1,NA,NA,NA,9,NA,1,2
1941,NA,1,1,1,NA,10,NA,NA,NA
1942,2,NA,1,1,NA,7,64,1,2
1943,1,2,1,1,3,NA,89,NA,2
1944,NA,NA,NA,NA,2,NA,28,NA,NA
1945,NA,NA,NA,1,NA,5,NA,NA,NA
1946,1,NA,1,NA,1,4,NA,NA,NA
1947,NA,1,NA,NA,NA,NA,35,1,2
1948,NA,NA,1,2,2,16,56,NA,NA
1949,1,1,1,NA,2,15,0,NA,2
1950,NA,NA,1,NA,NA,9,NA,1,NA
1951,1,NA,NA,NA,NA,12,44,1,NA
1952,2,NA,NA,1,NA,NA,29,4,2
1953,NA,2,1,NA,3,NA,79,NA,2
1954,NA,NA,NA,1,NA,1,NA,NA,NA
1955,NA,1,NA,2,3,NA,NA,1,NA
1956,1,1,1,NA,NA,NA,NA,4,2
1957,1,1,1,NA,1,9,52,1,NA
1958,2,NA,1,1,NA,12,NA,1,NA
1959,NA,1,1,2,3,8,36,NA,NA
1960,1,1,1,2,2,8,80,4,NA
1961,2,1,1,1,2,NA,84,NA,NA
1962,NA,1,1,2,1,16,40,3,2
1963,NA,1,1,1,NA,14,24,1,2
1964,NA,NA,1,2,2,NA,6,1,NA
1965,2,NA,1,NA,NA,7,19,1,2
1966,2,1,1,2,2,NA,NA,1,NA
1967,1,1,NA,2,NA,NA,4,NA,2
1968,1,1,NA,2,NA,12,85,4,2
1969,1,1,1,NA,NA,7,NA,2,NA
1970,NA,NA,1,2,NA,NA,55,1,NA
1971,2,NA,1,2,2,NA,55,NA,2
1972,2,1,1,2,1,16,NA,1,NA
1973,1,NA,NA,1,3,5,NA,NA,1
1974,NA,1,1,2,2,14,18,NA,2
1975,1,NA,1,NA,3,3,5,NA,2
1976,2,1,NA,NA,3,15,87,NA,2
1977,NA,NA,NA,2,1,2,21,NA,NA
1978,1,1,NA,2,2,15,90,1,2
1979,1,1,NA,1,3,NA,69,1,NA
1980,2,1,1,NA,1,NA,2,1,2
1981,NA,1,1,2,1,4,0,1,2
1982,1,NA,NA,1,2,10,17,NA,NA
1983,2,NA,1,1,1,NA,21,3,2
1984,2,1,1,NA,2,NA,35,2,2
1985,2,1,NA,NA,NA,9,84,1,2
1986,2,1,NA,1,NA,NA,7,2,NA
1987,NA,1,NA,2,NA,14,NA,1,NA
1988,2,1,NA,1,2,4,45,NA,NA
1989,NA,1,1,1,NA,13,52,1,2
1990,NA,1,NA,NA,NA,NA,NA,1,NA
1991,NA,2,1,NA,1,NA,NA,1,2
1992,NA,1,2,1,NA,2,77,3,NA
1993,NA,1,1,1,NA,8,NA,2,2
1994,1,1,NA,2,2,8,36,NA,NA
1995,NA,NA,NA,2,2,1,61,1,2
1996,NA,1,1,NA,NA,11,52,NA,2
1997,2,NA,1,NA,3,14,NA,NA,NA
1998,2,1,NA,2,1,NA,NA,NA,2
1999,NA,1,1,1,3,NA,44,1,2
2000,2,NA,1,1,3,14,28,4,2
2001,2,1,NA,1,1,9,NA,2,NA
2002,2,NA,1,NA,NA,10,NA,1,2
2003,NA,1,1,NA,NA,13,43,NA,NA
2004,2,1,1,2,NA,7,NA,NA,1
2005,1,1,NA,1,NA,13,NA,1,NA
2006,2,NA,NA,NA,NA,NA,24,1,NA
2007,1,1,NA,2,1,16,38,NA,NA
2008,NA,1,1,NA,NA,11,28,NA,NA
2009,2,1,NA,2,2,11,NA,NA,2
2010,2,1,NA,1,NA,NA,55,3,NA
2011,NA,NA,NA,2,NA,14,45,1,1
2012,NA,1,NA,1,2,3,82,NA,2
2013,1,1,NA,1,3,6,NA,1,2
2014,2,NA,1,1,NA,16,39,NA,2
2015,NA,NA,1,1,1,4,NA,1,NA
2016,1,NA,1,NA,1,NA,NA,NA,NA
2017,NA,NA,1,2,3,NA,82,NA,2
2018,NA,1,NA,1,2,NA,NA,1,2
2019,NA,1,1,NA,1,13,41,NA,2
2020,2,1,1,2,NA,6,41,NA,2
2021,NA,1,1,2,NA,6,26,3,2
2022,2,1,1,2,2,NA,NA,1,2
2023,1,1,1,1,NA,8,33,NA,NA
2024,1,NA,1,1,NA,NA,NA,1,NA
2025,NA,1,1,1,NA,15,15,1,2
2026,NA,1,NA,NA,2,NA,NA,NA,NA
2027,2,NA,1,NA,NA,NA,25,4,2
2028,2,NA,1,2,3,9,NA,1,NA
2029,2,NA,NA,2,1,6,NA,NA,2
2030,2,2,1,2,2,4,9,1,2
2031,1,NA,1,NA,NA,10,NA,1,2
2032,2,NA,1,2,1,7,53,1,2
2033,NA,NA,1,NA,NA,NA,46,NA,2
2034,NA,NA,1,NA,1,13,NA,NA,2
2035,NA,NA,NA,NA,NA,NA,6,1,NA
2036,NA,NA,1,NA,NA,13,77,1,NA
2037,1,1,1,2,1,NA,NA,1,2
2038,NA,NA,1,1,1,7,89,1,NA
2039,NA,2,1,2,1,NA,53,NA,2
2040,NA,NA,NA,2,2,15,17,1,NA
2041,NA,1,NA,NA,NA,13,NA,1,NA
2042,2,1,NA,2,2,9,NA,NA,NA
2043,1,NA,1,2,2,NA,67,1,NA
2044,2,1,NA,1,NA,NA,65,NA,NA
2045,NA,NA,1,NA,NA,16,57,1,NA
2046,2,1,NA,NA,1,7,NA,1,2
2047,2,1,1,2,1,10,29,NA,NA
2048,NA,1,NA,NA,NA,3,NA,NA,2
2049,2,NA,NA,NA,2,2,60,1,2
2050,1,1,NA,2,2,NA,5,NA,2
2051,1,NA,2,NA,NA,NA,43,NA,NA
2052,2,1,NA,1,NA,10,NA,1,2
2053,2,1,NA,1,2,NA,89,1,2
2054,NA,NA,1,NA,NA,5,30,1,NA
2055,NA,NA,1,NA,NA,NA,79,3,NA
2056,NA,1,1,1,2,NA,43,1,NA
2057,NA,1,2,NA,NA,7,61,NA,2
2058,1,1,2,NA,3,3,52,1,2
2059,NA,NA,1,1,NA,NA,NA,1,NA
2060,NA,NA,1,NA,2,NA,89,1,2
2061,1,NA,NA,NA,3,1,17,NA,NA
2062,1,1,2,2,2,7,38,NA,NA
2063,1,1,1,1,3,13,NA,1,2
2064,1,NA,1,1,1,NA,NA,NA,2
2065,NA,1,1,NA,3,16,32,1,NA
2066,1,1,NA,NA,3,NA,73,NA,NA
2067,NA,1,1,2,NA,NA,55,1,NA
2068,2,1,1,1,3,NA,NA,4,2
2069,NA,1,NA,NA,NA,8,NA,1,2
2070,NA,NA,1,2,3,NA,82,1,2
2071,NA,1,NA,1,3,13,21,NA,2
2072,2,1,NA,1,3,NA,43,NA,2
2073,1,NA,NA,2,2,NA,26,NA,2
2074,2,1,1,2,2,NA,NA,1,NA
2075,2,NA,1,1,2,NA,NA,1,NA
2076,1,1,1,NA,1,3,12,NA,2
2077,2,NA,1,1,3,NA,74,NA,NA
2078,2,1,NA,NA,NA,11,12,NA,2
2079,1,1,1,2,2,NA,NA,NA,NA
2080,NA,NA,NA,NA,2,12,NA,3,2
2081,2,1,1,2,1,1,NA,NA,NA
2082,NA,1,NA,NA,2,11,NA,3,2
2083,1,1,1,NA,2,NA,10,NA,2
2084,2,1,1,2,NA,9,NA,3,2
2085,1,1,NA,1,1,4,NA,1,2
2086,NA,1,NA,2,NA,12,NA,1,2
2087,NA,NA,NA,NA,3,1,77,4,2
2088,NA,1,1,2,2,6,NA,1,NA
2089,NA,1,NA,NA,2,11,NA,1,NA
2090,NA,1,1,NA,NA,11,NA,1,NA
2091,2,NA,1,NA,2,11,1,NA,NA
2092,1,1,NA,1,3,NA,42,1,2
2093,1,NA,NA,2,2,3,29,1,NA
2094,NA,NA,NA,1,3,NA,66,NA,NA
2095,NA,1,1,NA,2,2,31,1,NA
2096,2,1,NA,1,NA,NA,NA,1,NA
2097,2,NA,NA,2,3,4,76,1,NA
2098,2,NA,1,1,3,3,NA,NA,NA
2099,NA,NA,NA,1,1,NA,NA,1,2
2100,NA,NA,NA,NA,2,3,54,1,2
2101,NA,NA,NA,1,NA,NA,79,1,2
2102,2,1,NA,1,1,9,NA,2,2
2103,2,2,NA,2,2,7,25,1,NA
2104,2,1,1,2,1,13,34,NA,2
2105,1,1,1,2,NA,14,62,1,NA
2106,2,1,NA,1,1,1,NA,NA,NA
2107,2,1,1,1,NA,14,45,NA,NA
2108,2,1,NA,1,NA,12,NA,NA,NA
2109,NA,1,NA,1,3,NA,NA,3,NA
2110,1,1,1,NA,1,6,58,4,2
2111,NA,NA,1,1,NA,NA,NA,NA,2
2112,2,1,1,1,NA,12,NA,1,NA
2113,2,1,NA,NA,3,1,89,1,NA
2114,NA,1,NA,NA,2,1,32,NA,NA
2115,2,1,1,NA,2,8,33,1,NA
2116,2,1,1,2,NA,NA,NA,1,1
2117,NA,NA,NA,1,2,7,51,1,2
2118,NA,NA,1,NA,2,8,NA,1,2
2119,2,1,NA,2,3,NA,NA,1,2
2120,2,NA,1,1,NA,NA,NA,4,NA
2121,2,NA,NA,2,NA,11,NA,NA,2
2122,NA,NA,1,NA,3,NA,59,1,2
2123,NA,1,NA,2,2,13,NA,1,2
2124,2,NA,NA,NA,2,NA,85,1,2
2125,1,NA,NA,2,1,NA,38,NA,2
2126,2,1,NA,2,2,16,80,1,2
2127,NA,1,1,2,1,NA,NA,NA,2
2128,NA,1,NA,NA,NA,12,68,1,NA
2129,2,NA,NA,2,NA,10,NA,NA,NA
2130,2,NA,1,2,3,14,59,1,2
2131,2,NA,1,NA,2,NA,65,NA,2
2132,2,1,NA,2,2,12,57,NA,NA
2133,2,1,1,2,NA,NA,79,1,2
2134,2,1,1,NA,NA,15,28,1,2
2135,2,1,1,1,1,NA,NA,1,NA
2136,1,1,1,1,NA,13,NA,NA,NA
2137,NA,1,1,NA,3,16,37,NA,2
2138,NA,1,NA,1,1,12,NA,1,2
2139,2,1,NA,2,1,NA,74,1,2
2140,1,1,1,1,2,3,69,1,NA
2141,2,NA,1,1,NA,13,NA,NA,NA
2142,NA,NA,1,NA,NA,2,84,2,NA
2143,1,1,1,NA,1,NA,NA,2,NA
2144,NA,1,1,NA,2,12,NA,1,NA
2145,NA,NA,1,NA,3,7,NA,2,NA
2146,2,1,NA,NA,2,NA,NA,1,2
2147,2,2,1,1,NA,NA,NA,1,2
2148,1,1,1,1,NA,3,44,1,2
2149,1,1,1,1,1,15,65,1,2
2150,NA,NA,NA,1,NA,15,NA,3,2
2151,NA,NA,NA,1,2,6,NA,1,2
2152,1,1,NA,NA,1,NA,NA,1,NA
2153,NA,2,NA,2,2,NA,13,1,NA
2154,NA,1,NA,NA,1,13,NA,NA,NA
2155,NA,2,1,2,2,NA,81,1,2
2156,1,NA,NA,2,2,NA,NA,NA,2
2157,2,1,1,1,3,14,NA,1,NA
2158,2,1,1,1,NA,1,NA,1,NA
2159,2,1,NA,NA,2,NA,79,2,2
2160,NA,NA,NA,NA,2,NA,37,1,2
2161,NA,NA,1,1,1,13,79,NA,NA
2162,1,1,NA,2,2,13,NA,NA,1
2163,1,NA,NA,NA,1,NA,86,NA,2
2164,2,1,1,NA,3,NA,27,NA,NA
2165,1,1,NA,1,3,3,NA,NA,2
2166,2,NA,1,NA,NA,NA,NA,NA,2
2167,NA,1,1,NA,3,5,NA,1,2
2168,NA,1,1,2,3,NA,0,1,2
2169,1,1,1,1,2,5,NA,NA,NA
2170,2,2,1,NA,2,NA,0,1,2
2171,NA,1,1,NA,NA,2,NA,1,NA
2172,NA,NA,NA,1,2,9,NA,NA,2
2173,2,NA,1,NA,NA,14,54,NA,NA
2174,NA,2,1,1,2,NA,79,NA,1
2175,2,1,NA,1,NA,NA,NA,NA,NA
2176,2,NA,2,NA,NA,NA,NA,1,NA
2177,2,NA,1,1,2,NA,39,NA,NA
2178,NA,1,1,1,2,13,NA,1,NA
2179,2,1,1,2,1,13,33,NA,2
2180,NA,1,1,NA,2,1,22,NA,2
2181,NA,1,1,2,1,NA,NA,3,2
2182,NA,1,NA,NA,NA,NA,68,1,2
2183,NA,1,1,NA,NA,NA,NA,NA,2
2184,2,1,1,2,3,NA,81,3,NA
2185,NA,NA,1,NA,1,10,NA,NA,2
2186,2,2,1,2,3,5,34,1,2
2187,2,NA,1,NA,1,8,70,3,2
2188,2,1,1,NA,2,NA,13,3,NA
2189,NA,NA,1,NA,2,NA,NA,1,2
2190,NA,NA,1,1,2,NA,72,NA,2
2191,1,NA,NA,NA,2,4,31,NA,NA
2192,1,1,1,2,2,8,NA,NA,2
2193,2,1,2,2,2,NA,NA,NA,2
2194,NA,1,1,2,NA,7,7,NA,2
2195,NA,1,1,2,3,NA,21,1,2
2196,NA,NA,1,NA,2,13,84,1,2
2197,NA,1,NA,2,1,12,20,1,2
2198,2,1,1,2,NA,7,74,2,2
2199,NA,NA,1,NA,1,3,68,1,2
2200,NA,1,1,NA,NA,NA,11,2,2
2201,NA,1,NA,2,NA,4,86,NA,2
2202,2,1,NA,NA,3,NA,12,1,NA
2203,2,NA,2,NA,3,NA,47,1,NA
2204,NA,2,1,1,3,10,NA,1,NA
2205,2,1,NA,1,2,16,87,NA,NA
2206,2,1,1,2,NA,6,54,1,NA
2207,1,1,1,NA,NA,NA,NA,1,2
2208,1,1,NA,NA,1,NA,74,2,NA
2209,NA,2,NA,2,NA,6,74,4,2
2210,NA,1,1,1,2,NA,26,NA,NA
2211,2,1,NA,2,2,12,NA,NA,NA
2212,2,NA,1,1,NA,5,13,NA,NA
2213,NA,1,1,1,2,12,NA,1,2
2214,1,NA,1,NA,2,5,NA,1,NA
2215,NA,NA,NA,NA,NA,NA,47,4,2
2216,2,2,NA,1,NA,7,16,NA,2
2217,2,1,1,1,2,NA,NA,NA,2
2218,NA,1,1,2,2,8,10,1,2
2219,1,NA,NA,1,3,NA,90,1,NA
2220,2,1,1,1,2,NA,23,NA,2
2221,1,NA,1,NA,2,NA,NA,4,2
2222,NA,1,1,2,2,5,NA,NA,NA
2223,1,1,1,NA,NA,10,NA,3,NA
2224,NA,NA,1,1,NA,NA,26,1,2
2225,2,NA,NA,1,1,16,64,1,NA
2226,2,2,1,2,NA,4,76,1,2
2227,2,NA,NA,2,NA,4,84,1,2
2228,1,1,1,2,NA,3,57,2,2
2229,NA,1,1,1,NA,12,53,NA,2
2230,2,1,1,NA,NA,1,37,3,2
2231,2,1,NA,2,NA,5,NA,NA,2
2232,NA,1,1,NA,2,5,46,1,2
2233,NA,NA,NA,NA,NA,NA,13,1,2
2234,1,1,NA,NA,3,NA,82,1,2
2235,2,1,1,NA,NA,NA,29,NA,NA
2236,NA,NA,NA,NA,2,3,22,NA,NA
2237,1,NA,1,1,NA,10,NA,1,NA
2238,NA,1,1,NA,2,4,NA,1,2
2239,NA,1,NA,1,2,15,65,NA,2
2240,1,1,1,NA,3,15,35,1,2
2241,NA,NA,NA,NA,NA,10,NA,NA,2
2242,NA,1,NA,NA,2,NA,89,1,NA
2243,2,1,1,NA,NA,NA,NA,1,NA
2244,1,1,1,1,3,6,NA,1,2
2245,1,NA,NA,NA,NA,11,NA,4,NA
2246,1,1,NA,1,2,2,23,1,1
2247,NA,1,NA,NA,NA,NA,NA,1,1
2248,2,1,1,2,3,7,53,3,2
2249,1,NA,1,1,1,NA,4,NA,1
2250,1,1,NA,2,NA,16,4,3,NA
2251,NA,1,1,1,2,12,54,NA,NA
2252,2,1,NA,2,3,12,58,NA,NA
2253,NA,NA,NA,1,1,NA,35,NA,2
2254,NA,1,1,1,NA,NA,67,NA,2
2255,2,1,1,NA,2,NA,NA,1,NA
2256,1,1,NA,2,1,5,67,NA,2
2257,NA,1,1,NA,NA,NA,NA,NA,NA
2258,2,NA,1,NA,3,NA,50,1,1
2259,2,1,1,NA,2,9,78,NA,2
2260,1,1,1,2,NA,1,60,1,NA
2261,NA,NA,1,2,NA,NA,29,1,2
2262,2,NA,1,1,3,3,17,1,2
2263,NA,1,1,2,2,16,30,NA,2
2264,NA,NA,1,1,2,7,25,1,NA
2265,1,NA,1,1,2,4,NA,3,NA
2266,1,NA,1,1,2,NA,46,3,2
2267,1,NA,1,1,2,14,8,1,2
2268,NA,1,1,1,2,NA,40,NA,2
2269,2,1,NA,NA,2,4,NA,4,2
2270,NA,1,NA,NA,2,NA,85,NA,2
2271,NA,2,NA,NA,NA,NA,NA,1,NA
2272,2,1,2,2,1,NA,NA,1,2
